aluminium,ammonia,arsenic,barium,,chloramine,chromium,copper,flouride,bacteria,viruses,,,,mercury,,radium,,silver,uranium,outcome
0.27,10.67,0.02,0.55,,3.74,0.12,1.77,0.43,0.8,0.8,,,,8,,0.9,,0.16,0.06,1
4.32,20.64,0.03,2.6,,7.24,0.61,1.23,1.44,0.56,0.56,,,,4,,3.22,,0.18,0.08,0
2.36,27.05,0.01,0.68,,04.07,0.13,1.34,0.29,0.96,0.96,,,,2,,7.99,,0.5,0.06,0
3.31,22.07,0.03,0.46,,7.22,0.73,01.05,1,0.25,7,,,,1,,0.49,,0.47,0.05,1
1.82,6.81,0.01,0.85,,2.55,0.25,01.09,1.35,0.16,2,,,,7,,1.15,,0.26,0.08,1
3.42,2.4,1,2.8,,2.87,0.73,0.27,0.53,0.44,2,,,,9,,3.29,,0.17,0,0
4.41,15.14,0.03,1.76,,6.63,0.62,1.57,0.26,0.69,0.69,,,,8,,2.39,,0.2,0.05,1
4.57,25.84,0.01,03.04,,2.78,0.72,0.46,1.41,0.08,6,,,,6,,4.55,,0.19,0,0
1.69,22.8,1,02.01,,5.87,0.78,1.53,0.87,0.13,8,,,,7,,7.77,,0.11,0.05,1
1.87,6.1,0.05,3.74,,2.86,0.52,01.03,0.51,0.77,0.77,,,,8,,2.21,,0.48,0.04,1
2.71,26.19,0.04,03.02,,4,0.17,1.56,0.91,0.38,5,,,,6,,6.16,,0.05,0.08,1
1.63,15.75,0.03,2.54,,4.25,0.74,1.35,1.24,0.12,6,,,,1,,1.71,,0.44,0.05,0
0.01,29.29,1,2.93,,7.75,0.68,01.09,0,0.8,0.8,,,,1,,3.76,,0.3,0,0
4.49,04.07,0.05,1.87,,4.55,0.32,0.9,0.55,0.3,2,,,,4,,6.15,,0.16,0.04,1
3.52,23.19,0.03,2.69,,4.94,0.76,1.85,1.24,0.75,0.75,,,,8,,3.19,,0.37,0.06,1
4.35,26.85,0.02,0.88,,0.64,0.61,0.91,0.42,0.44,6,,,,9,,0.5,,0.35,0,1
2.51,13.08,0.04,1.58,,2.86,0.87,1.88,0.4,0.13,4,,,,8,,4.7,,0.04,0.05,0
2.34,19.9,0.03,2.67,,4.3,0.26,0.08,0.34,0.26,3,,,,6,,2.41,,0.12,0.05,0
1.71,9.49,0.05,3.63,,2.24,0.9,0.22,0.68,0.63,0.63,,,,5,,6.14,,0.44,0.06,0
3.45,22.32,0.01,0.55,,2.4,0.36,0.29,0.51,0.86,0.86,,,,5,,5.45,,0.04,0.07,0
3.37,01.07,0.04,1.86,,2.9,0.84,1.92,1.2,0.32,3,,,,8,,0.37,,0.46,0.08,1
3.13,28.19,1,0.25,,3.58,0.68,1.29,01.04,0.49,1,,,,5,,3.39,,0.2,0.03,0
0.29,13.74,0.02,0.52,,2.99,0.11,1.14,0.36,0.13,8,,,,4,,2.18,,0.01,0.02,0
1.51,0.14,0.02,0.06,,5.71,0.88,1.71,1.42,0.27,2,,,,6,,2.3,,0,0,1
01.09,28.84,0.01,2.16,,1.26,0.85,1.59,01.04,0.08,7,,,,6,,2.67,,0.35,0.08,0
0.94,10.83,0.01,3.94,,5.38,0.72,0.3,0.52,0.38,2,,,,5,,4.27,,0.25,0.05,0
2.68,09.02,0.04,3.98,,0.22,0.09,0.54,0.14,0.27,4,,,,7,,2.91,,0.43,0.09,1
0.3,0.44,1,2.5,,6.11,0.35,1.79,0.89,0.67,0.67,,,,6,,4.12,,0.42,0.01,1
0.23,23.16,1,3.5,,0.68,0.47,0.54,1.33,0.05,1,,,,6,,0.92,,0.03,0.08,1
2.55,20.81,0.04,2.8,,7.7,0.82,0.44,1.2,0.77,0.77,,,,1,,1.53,,0.27,0.06,1
0.86,18.64,0.04,1.31,,5.47,0.04,1.97,0.59,0.18,7,,,,4,,7.12,,0.28,0.01,0
4.32,10.15,0.04,1.98,,7.97,0.32,1.98,0.66,0.06,8,,,,9,,5.63,,0.12,0.01,1
0.24,8.63,0.04,01.07,,6.19,0.49,0.65,0.9,0.58,0.58,,,,3,,5.8,,0.24,0.05,1
3.63,3.53,0.03,2.79,,04.08,0.81,1.23,0.75,0.79,0.79,,,,2,,7.18,,0.45,0.03,0
3.26,21.24,0.05,3.86,,2.49,0.51,01.06,0.1,0.84,0.84,,,,1,,4.87,,0.02,0.07,0
0.42,3.22,0.01,0.65,,0.9,0.83,01.08,0.15,0.23,7,,,,1,,4.86,,0.21,0.05,1
0.77,12.4,0.05,3.45,,4.5,0.04,0.14,01.01,0.42,0,,,,8,,4.34,,0.35,0,1
0.6,2.21,1,3.53,,0.88,0.64,1.26,0.83,0.77,0.77,,,,4,,2.75,,0.24,0.08,1
0.58,29.19,0.02,1.71,,1.13,0.53,1.34,0.03,0.98,0.98,,,,5,,3.81,,0.18,0.02,1
3.82,13.59,0.01,0.84,,3.85,0.23,1.69,1.47,0.05,8,,,,9,,6.13,,0.48,0.05,1
2.78,3.14,0.02,0.22,,6.16,0.47,1.75,1.28,0.23,8,,,,3,,4.91,,0.17,0.08,1
3.62,3.82,1,0.58,,07.06,0.45,1.61,0.45,0.24,2,,,,4,,4.39,,0.33,0.03,1
3.88,21.08,0.01,3.74,,3.43,0.02,0.19,0.52,0.74,0.74,,,,4,,6.65,,0.42,0.02,0
4.64,19.96,0.03,03.02,,4.4,0.89,0.38,0.02,0.76,0.76,,,,8,,3.29,,0.26,0.09,1
2.25,12.28,0.02,2.16,,4.89,0.36,0.34,0.14,0.06,4,,,,0,,3.75,,0.02,0.06,1
0.54,22.33,0.02,2.27,,6.57,0.89,0.93,0.2,0.51,0.51,,,,2,,0.63,,0.43,0.05,1
4.62,8.7,0.04,3.11,,2.15,0.71,0.7,0.32,0.65,0.65,,,,3,,1.44,,0.31,0.01,1
2.5,10.59,0.01,0.57,,2.38,0.26,1.55,01.09,0.72,0.72,,,,1,,7.4,,0.37,0.03,1
03.08,8.83,0.05,2.24,,4.77,0.03,1.11,0.36,0.27,6,,,,0.01,,7.81,,0.21,0.05,1
03.03,13.84,0.01,3.92,,7.81,0.41,1.97,0.61,0.52,0.52,,,,5,,2.95,,0.12,0.02,0
2.85,28.55,0.02,1.67,,2.79,0.6,0.42,1.13,0.05,4,,,,6,,1.29,,0.12,0.04,0
1.38,18.97,0.04,1.47,,1.78,0.03,1.34,0.26,0.07,8,,,,0.01,,2.73,,0.11,0.04,0
2.73,19.42,0.02,1.78,,1.97,0.74,0.18,0.13,0.79,0.79,,,,6,,6.35,,0.17,0.06,1
03.02,8.17,1,3.76,,3.4,0.29,1.28,0.32,0.53,0.53,,,,7,,6.53,,0.32,0.02,1
1.96,16.66,1,2.93,,4.41,0.71,1.14,1.14,0.45,4,,,,0.01,,07.02,,0.42,0.04,0
2.35,14.14,0.02,2.86,,5.27,0.01,0.71,0.52,0.39,7,,,,3,,2.92,,0.41,0.01,1
2.45,27.89,0.02,3.25,,3.35,0.77,1.99,0.22,0.25,8,,,,8,,2.35,,0.09,0.03,1
2.67,18.79,0.02,0.07,,2.69,0.31,1.21,1.21,0.83,0.83,,,,3,,6.11,,0.34,0.05,0
1.12,14.79,0.04,03.08,,06.06,0.68,1.3,0.5,0.1,8,,,,8,,0.86,,0.19,0.02,0
3.3,9.33,0.04,1.28,,7.56,0.22,0.95,0.28,0.53,0.53,,,,9,,0.28,,0.08,0.09,1
0.43,28.29,0.01,0.88,,3.55,0.65,0.01,0.43,0.27,7,,,,1,,5.14,,0.06,0.05,0
1.19,25.95,0.01,0.75,,0.13,0.18,1.44,0.3,0.18,4,,,,8,,5.41,,0.32,0,1
0.85,10.38,0.05,0.17,,7.52,0.89,0.52,0.32,0.31,2,,,,0,,4.15,,0.1,0.02,1
4.64,22.51,0.04,2.97,,6.57,0.41,1.44,0.58,0.96,0.96,,,,8,,6.53,,0.21,0.08,0
0.5,9.32,0.03,2.99,,3.57,0.85,01.01,0.68,0.11,6,,,,6,,2.24,,0.12,0.01,1
4.75,15.62,0.02,3.18,,1.28,0.52,1.64,0.86,0.64,0.64,,,,6,,6.46,,0.35,0.06,0
1.89,15.42,0.05,1.38,,06.02,0.33,0.22,0.01,0.76,0.76,,,,9,,4.74,,0.26,0.05,1
3.75,17.69,0.04,1.87,,1.12,0.38,0.22,01.09,0.57,0.57,,,,1,,01.08,,0.03,0.01,1
3.32,21.84,0.03,3.45,,6.1,0.23,0.76,1.16,0.79,0.79,,,,6,,4.29,,0.08,0,0
1.75,13.74,0.01,1.36,,0.19,0.51,1.5,0.69,0.82,0.82,,,,5,,6.98,,0.15,0.07,1
0.94,2.84,0.01,3.54,,1.85,0.15,1.99,1.29,0.86,0.86,,,,2,,3.95,,0.14,0.02,1
2.66,22.84,0.01,02.09,,3.32,0.79,1.57,0.66,0.58,0.58,,,,8,,3.32,,0.32,0.06,0
2.76,4.15,0.02,2,,4.25,0.19,1.23,0.86,0.87,0.87,,,,7,,1.62,,0.21,0.08,1
0.43,13.55,0.03,3.28,,2.38,0.17,0.25,1.25,0.7,0.7,,,,3,,5.41,,0.11,0.07,1
2.63,19.11,0.02,1.74,,1.89,0.69,0.87,0.69,0.55,0.55,,,,7,,4.15,,0.38,0.08,1
2.85,23.02,0.03,2.24,,0.46,0.02,1.77,0.62,0.14,6,,,,4,,7.6,,0.45,0.05,0
0.04,13.18,0.02,2.44,,4.8,0.33,0.73,0.68,0.45,6,,,,8,,6.6,,0.06,0.04,0
0.88,11.12,0.04,0.92,,4.59,0.85,1.1,1.48,0.75,0.75,,,,7,,1.2,,0.27,0.02,1
03.03,9.19,0.05,0.65,,6.25,0.61,0.77,0.76,0.51,0.51,,,,0,,6.36,,0.17,0.08,1
2.22,29.68,0.03,2.86,,4.54,0.72,0.14,1.42,1,1,,,,6,,4.96,,0.16,0.05,0
4.91,18.02,0.04,0.13,,5.22,0.84,0.62,0.97,0.23,6,,,,3,,5.77,,0.03,0.07,1
1.15,20.06,0.02,2.73,,1.86,0.81,0.36,0.73,0.47,0,,,,5,,4.48,,0.38,0.02,1
4.8,11.92,0.05,3.2,,7.37,0.46,1.43,1.49,0.58,0.58,,,,0,,6.74,,0.42,0,1
0.47,26.77,0.02,0.29,,7.36,0.15,1.65,0.08,0.51,0.51,,,,2,,4.41,,0.34,0.06,0
1.62,6.54,0.01,1.46,,03.07,0.11,0.05,1.21,0.33,1,,,,1,,6.28,,0.47,0.01,1
2.68,9.61,0.02,1.32,,2.89,0.69,0.16,0.87,0.67,0.67,,,,3,,7.28,,0.12,0.01,1
0.09,12.26,0.04,3.61,,3.58,0.47,0.13,1.29,0.82,0.82,,,,6,,1.45,,0.31,0.04,1
4.66,0.27,0.04,0.16,,6.75,0.09,1.72,0.89,0.09,5,,,,1,,5.26,,0.1,0.08,1
2.74,14.81,0.02,3.84,,7.97,0.25,0.65,0.73,0.53,0.53,,,,7,,2.2,,0.05,0.05,1
1.79,16.6,0.03,2.36,,3.2,0.42,1.67,1.21,0.65,0.65,,,,5,,0.25,,0.12,0.05,0
2.5,10.25,0.03,1.5,,3.11,0.52,1.89,1.18,0.75,0.75,,,,2,,3.4,,0.29,0.07,0
3.52,02.07,0.04,2.46,,1.33,0.32,0.94,0.26,0.28,9,,,,3,,4.23,,0.03,0.04,1
4.15,19.07,1,1.99,,4.43,0.84,0.85,01.01,0.19,8,,,,5,,4.14,,0.02,0.01,0
3.78,19.17,0.05,0.76,,6.6,0.7,0.29,0.5,0.7,0.7,,,,1,,03.09,,0.38,0.02,0
1.82,9.2,0.01,1.74,,0.63,0.3,1.7,0.29,0.78,0.78,,,,6,,2.58,,0.4,0.04,1
2.91,5.19,0.02,2.66,,05.07,0.33,0.72,0.42,0.75,0.75,,,,5,,3.49,,0.38,0.03,1
4.3,16.35,0.03,2.9,,5.14,0.29,1.5,0.25,0.02,0,,,,9,,1.39,,0.11,0,0
3.24,02.01,1,1.6,,0.4,0.24,1.52,0.76,0.57,0.57,,,,2,,03.04,,0.2,0.08,0
3.53,5.43,0.04,2.34,,4.13,0.7,1.51,0.89,0.55,0.55,,,,1,,0.25,,0.01,0.09,1
03.04,22.29,0.05,1.87,,2.52,0.46,0.24,0.66,0.09,8,,,,6,,0.68,,0.09,0.02,1
2.21,29.72,0.02,1.4,,3.71,0.47,1.16,01.06,0.82,0.82,,,,1,,7.9,,0.5,0.04,1
2.47,25.2,0.04,01.01,,2.78,0.04,0.87,0.16,0.41,3,,,,8,,5.99,,0.4,0.05,0
1.92,19.73,0.03,1.11,,1.87,0.16,0.02,0.04,0.76,0.76,,,,6,,4.8,,0.41,0.02,1
1.22,23.18,0.04,3.65,,4.43,0.63,1.94,1.27,0.08,8,,,,5,,4.8,,0.22,0.07,0
2.12,23.58,1,0.57,,4.3,0.82,1.57,0.43,0.04,3,,,,5,,5.11,,0.2,0.03,1
4.19,23.37,0.05,1.65,,07.09,0.47,1.95,1.38,0.46,3,,,,9,,2.4,,0.35,0.02,0
4.21,17.84,0.01,3.94,,2.26,0.03,1.4,0.5,0.28,5,,,,1,,7.9,,0.28,0.03,1
04.07,10.36,0.01,3.29,,0.41,0.39,0.55,1.27,0.61,0.61,,,,9,,2.53,,0.37,0.05,0
2.56,1.36,0.04,3.45,,3.42,0.03,1.39,1.12,0.1,1,,,,9,,4.39,,0.11,0.07,1
3.55,26.04,0.03,1.94,,0.01,0.34,0.37,1.29,0.62,0.62,,,,7,,2.73,,0.03,0.08,0
3.94,21.58,0.04,2.9,,5.65,0.08,0.35,1.43,0.71,0.71,,,,4,,2.9,,0.46,0.03,1
1.22,1.36,0.01,3.2,,5.72,0.45,1.45,0.52,0.18,3,,,,7,,6.59,,0.34,0.01,1
0.8,13.59,0.03,3.16,,0.89,0.2,01.06,0.53,0.96,0.96,,,,2,,3.42,,0.15,0.03,1
3.31,19.49,0.04,1.36,,1.57,0.45,0.5,0.74,0.5,0.5,,,,8,,3.22,,0.32,0.04,1
2.59,27.47,0.01,1.8,,2.74,0.8,0.27,0.93,0.5,0.5,,,,2,,4.16,,0.11,0.02,1
3.9,9.79,1,1.6,,0.79,0.34,0.01,0.01,0.5,0.5,,,,7,,1.23,,0.01,0.02,1
3.15,17.13,0.01,2.63,,7.8,0.4,1.24,0.92,0.42,6,,,,4,,5.9,,0.21,0.01,0
0.18,11.66,0.04,0.86,,3.49,0.8,1.54,0.32,0.33,6,,,,9,,7.25,,0.28,0.08,0
3.86,11.02,0.01,3.64,,3.83,0.14,01.04,1.39,0.07,6,,,,8,,6.42,,0.43,0.05,0
1.25,5.66,1,0.87,,3.81,0.15,0.33,1.33,0.59,0.59,,,,8,,4.39,,0.39,0.01,0
0.18,04.08,0.04,0.57,,1.69,0.27,0.6,0.07,0.79,0.79,,,,0.01,,3.44,,0.44,0.04,1
2.29,16.05,0.01,0.29,,05.07,0.19,1.64,0.61,1,1,,,,6,,4.33,,0.28,0.08,0
0.07,14.96,0.01,0.17,,6.21,0,0.81,0.24,0.15,5,,,,2,,1.67,,0,0.03,1
2.71,27.52,0.01,3.15,,01.07,0.13,1.69,0.98,0.28,4,,,,8,,2.65,,0.4,0.01,1
4.18,29.27,0.05,01.03,,0.5,0.77,1.51,0.36,0.78,0.78,,,,8,,6.2,,0.12,0.07,0
4.34,1.34,0.02,1.82,,3.95,0.8,1.99,0.48,0.33,1,,,,0,,6.66,,0.16,0,1
0.92,9.34,0.04,1.39,,7.59,0.19,1.22,01.06,0.27,8,,,,7,,4.35,,0.41,0.07,1
2.39,14.48,0.02,1.14,,0.98,0.23,1.3,0.37,0.98,0.98,,,,8,,3.24,,0.44,0,1
0.9,5.48,0.05,3.58,,4.95,0.15,1.38,1.39,0.87,0.87,,,,1,,7.35,,0.44,0.08,1
0.89,23.24,0.03,3.35,,0.8,0.26,0.5,0.85,0.44,4,,,,7,,3.23,,0.03,0.02,1
2.4,26.12,0.03,3.57,,5.29,0.3,0.78,0.09,0.83,0.83,,,,9,,4.63,,0.18,0.05,0
4.91,20.65,0.02,2.69,,2.45,0.19,0.17,0.59,0.07,8,,,,8,,6.49,,0.31,0.09,1
3.37,18.41,0.05,2.36,,1.36,0.68,1.45,1.4,0.28,3,,,,2,,1.31,,0.18,0.04,1
03.08,16.77,0.03,1.81,,0.05,0.03,0.04,1.16,0.51,0.51,,,,6,,3.72,,0.14,0.08,0
3.69,12.46,0.05,02.01,,6.5,0.8,1.8,1.46,0.31,4,,,,6,,3.95,,0.44,0.07,1
4.71,23.41,0.02,1.63,,6.75,0.43,1.83,01.03,0.48,9,,,,2,,01.08,,0.27,0.02,1
3.36,19.29,0.03,0.56,,4.68,0.35,1.37,0.65,0.09,6,,,,8,,6.75,,0.42,0.02,0
4.46,28.08,0.02,3.93,,5.1,0.38,0.52,0.22,0.69,0.69,,,,4,,6.63,,0.14,0.07,0
4.5,14.44,0.02,1.72,,3.61,0.59,1.45,0.28,0.52,0.52,,,,6,,4.47,,0.02,0.08,1
0.57,4.63,0.04,1.31,,4.23,0.49,0.75,0.44,0.68,0.68,,,,2,,7.42,,0.3,0.04,0
2.69,4,0.02,0.28,,0.81,0.33,0.07,0.7,0.01,0,,,,6,,7.85,,0.13,0.08,1
4.3,02.03,0.01,03.09,,04.06,0.28,1.66,0.79,0.73,0.73,,,,6,,04.05,,0.24,0.05,1
2.17,8.76,0.01,1.93,,4.42,0.76,1.96,0.82,0.11,5,,,,0,,0.77,,0.33,0.01,1
1.32,17.66,0.01,0.12,,7.95,0.03,0.57,1.44,0.44,3,,,,9,,2.68,,0.3,0.07,0
2.59,5.8,1,1.99,,6.45,0.07,0.65,1.5,0.79,0.79,,,,2,,2.35,,0.31,0.06,0
5,19.45,0.05,2.42,,0.09,0.19,0.36,1.39,0.8,0.8,,,,1,,7.85,,0.05,0.08,1
2.6,18.17,0.03,3.33,,3.26,0.26,01.07,1.44,0.07,5,,,,6,,1.55,,0.04,0.08,1
0.35,21.76,0.01,2.53,,0.85,0.59,0.08,1.19,0.7,0.7,,,,0,,6.7,,0.42,0.02,1
3.83,16.01,0.01,2.57,,7.12,0.13,1.64,0.78,0.61,0.61,,,,9,,03.07,,0.11,0.03,1
2.9,1.66,0.05,2.79,,3.69,0.37,1.39,1.19,0.39,1,,,,9,,7.6,,0.48,0.02,1
1.56,6.47,0.02,0.78,,3.41,0.21,0.5,1.34,0.22,3,,,,1,,6.6,,0.42,0.07,1
4.34,1.86,0.04,1.84,,3.1,0.79,0.55,0.96,0.21,4,,,,3,,1.55,,0.15,0.04,1
2.23,25.59,0.02,03.03,,1.53,0.86,0.66,1,0.67,0.67,,,,4,,1.27,,0.4,0,1
3.81,8.13,0.02,3.51,,2.4,0.05,0.06,0.74,0.05,3,,,,3,,7.35,,0.36,0,1
2.75,26.64,1,0.19,,1.67,0.77,0.05,1.43,0.92,0.92,,,,7,,02.01,,0.23,0.01,0
0.81,20.38,0.04,3.53,,2.13,0.41,0.79,0.59,0.49,7,,,,2,,6.25,,0.35,0.09,0
1.12,9.92,0.01,1.98,,03.08,0.66,1.26,1.33,0.34,6,,,,0,,1.18,,0.42,0.01,1
4,28.24,0.01,0.78,,7.91,0.32,0.21,01.04,1,1,,,,9,,01.04,,0.04,0.03,1
04.08,20.19,0.04,3.34,,5.23,0.86,1.94,0.8,0.32,4,,,,0.01,,1.51,,0.27,0.04,0
1.55,10.16,0.01,2.91,,0.07,0.84,0.71,1.43,0.58,0.58,,,,9,,7.67,,0.23,0.01,1
2.42,2.15,0.03,1.99,,6.2,0.03,1.33,1,0.18,5,,,,6,,3.36,,0.27,0.06,0
2.56,28.59,0.03,2.16,,5.48,0.33,0.89,1.41,0.74,0.74,,,,9,,07.08,,0.14,0.01,1
2.99,21.68,0.03,03.04,,0.67,0.72,0.55,0.19,0.72,0.72,,,,4,,6.83,,0.25,0.03,1
1.36,8.71,0.04,3.48,,3.91,0.49,1.53,01.04,0.08,1,,,,7,,5.56,,0.03,0.08,1
1.43,19.6,0.03,02.01,,05.07,0.05,01.04,1.19,0.18,1,,,,8,,7.94,,0.36,0,0
3.83,8.62,0.04,0.33,,4.95,0.22,01.09,0.4,0.02,2,,,,8,,6.5,,0.15,0.04,1
1.66,2.34,0.03,2.39,,4.98,0.55,0.88,1.45,0.58,0.58,,,,7,,5.78,,0.26,0.01,0
0.47,22.21,0.02,02.07,,0.4,0.21,1.32,1.23,0.56,0.56,,,,7,,0.51,,0.2,0,1
3.38,18.93,0.01,2.22,,0.97,0.18,0.46,1.43,0.43,3,,,,5,,02.01,,0.25,0.06,0
0.01,19.07,0.04,1.18,,4.69,0.65,0.73,0.82,0.7,0.7,,,,7,,2.87,,0.01,0.04,1
3.62,18.04,0.01,0.69,,1.49,0.86,1.44,1.42,0.31,7,,,,2,,4.95,,0.07,0.06,1
4.42,23.51,0.04,0.82,,0.54,0.63,1.33,1.37,0.09,8,,,,1,,1.83,,0.03,0.02,0
3.43,24.07,0.05,2.76,,4.4,0.09,0.37,0.49,0.14,7,,,,0.01,,4.85,,0.18,0.02,0
3.65,15.61,0.02,2.15,,2.8,0.34,0.98,0.23,0.93,0.93,,,,7,,3.73,,0.28,0.05,0
4.86,12.48,1,2.99,,7.47,0.79,0.71,1.26,0.75,0.75,,,,6,,6.9,,0.39,0.07,0
2.82,23.76,0.03,0.76,,2.91,0.51,1.38,1.26,0.48,7,,,,0.01,,0.53,,0.09,0.06,1
01.05,13.34,0.01,2.13,,0.88,0.04,1.11,1.19,0.72,0.72,,,,1,,3.52,,0.42,0.02,1
0.73,22.36,0.04,2.93,,5.92,0.71,0.53,0.95,0.19,4,,,,6,,3.57,,0.01,0.05,0
1.21,11.64,0.03,2.56,,6.8,0.09,1.18,0.88,0.28,1,,,,3,,7.46,,0.03,0.07,1
2.15,25.9,0.01,2.56,,1.81,0.11,1.96,1.32,0.85,0.85,,,,2,,2.96,,0.32,0.09,0
3.6,21.3,1,0.33,,2.45,0.67,1.36,0.66,0.76,0.76,,,,6,,4.17,,0.17,0.04,0
2.67,25.13,0.03,01.05,,3.58,0.7,1.89,0.7,0.77,0.77,,,,4,,4.23,,0.47,0.05,0
1.73,12.32,0.02,3.93,,3.91,0.07,1.89,0.17,0.66,0.66,,,,9,,3.75,,0.32,0.02,0
3.35,14.3,0.02,1.92,,7.51,0.28,1.86,0.45,0.36,3,,,,3,,7.29,,0.02,0.01,1
0.37,25.07,1,3.33,,0.92,0.79,0.72,0.87,0.17,1,,,,4,,0.4,,0.31,0.04,0
2.11,28.82,0.03,0.7,,6.29,0.41,0.13,0.82,0.48,8,,,,0,,2.48,,0.1,0.02,0
0.79,25.24,0.02,0.48,,5.54,0.21,0.03,1.27,0.82,0.82,,,,9,,4.72,,0.2,0.07,0
1.75,4.3,0.05,03.06,,5.92,0.47,1.53,1.25,0.6,0.6,,,,2,,6.79,,0.12,0.04,1
0.99,28.24,0.04,3.57,,2.58,0.65,0.25,1.16,0.98,0.98,,,,7,,6.19,,0.17,0.07,0
1.86,24.86,0.03,0.62,,5.83,0.85,01.09,0.97,0.49,3,,,,6,,5.19,,0.08,0.08,1
4.84,0.38,1,3.34,,7.88,0.27,1.74,0.36,0.21,7,,,,2,,2.3,,0.22,0.06,0
03.09,8.21,1,3.35,,4.37,0.33,1.94,0.78,0.89,0.89,,,,8,,7.62,,0.33,0.04,0
0.54,0.28,0.02,1.71,,5.17,0.86,1.96,0.84,0.37,6,,,,0.01,,5.48,,0.15,0.01,1
0.29,23.74,0.02,2.64,,6.13,0.87,1.41,0.37,0.79,0.79,,,,7,,1.89,,0.13,0.08,1
1.72,29.8,0.03,1.88,,6.9,0.77,1.32,1.3,0.73,0.73,,,,1,,4.87,,0.49,0.03,0
3.29,14.1,0.01,2.39,,4.36,0.36,1.6,0.15,0.91,0.91,,,,6,,2.96,,0.33,0,1
2.59,27.54,1,1.19,,7.14,0.38,1.24,0.14,0.51,0.51,,,,0,,1.74,,0.15,0.01,0
0.22,9.72,0.05,3.29,,5.25,0.06,1.17,0.9,0.51,0.51,,,,0.01,,4.23,,0.03,0.01,1
0.11,2.97,0.01,1.35,,7.41,0.23,1.44,0.17,0.99,0.99,,,,8,,4.17,,0.18,0.03,0
2.35,6.92,0.03,1.13,,7.24,0.47,0.33,0.82,0.29,4,,,,4,,0.45,,0.3,0.05,1
04.04,0.98,0.02,1.62,,4.54,0.24,1.66,0.64,0.1,2,,,,7,,3.65,,0.37,0.02,1
3.6,8.24,0.03,1.92,,1.44,0.08,1.89,0.65,0.39,8,,,,1,,5.78,,0.04,0.07,1
3.71,15.18,0.03,2.54,,0,0.54,0.59,0.54,0.31,1,,,,2,,07.03,,0.08,0,1
0.61,8.71,0.05,2.46,,7.33,0.43,0.7,0.8,0.97,0.97,,,,1,,5.96,,0.08,0,1
0.79,16.65,0.03,2.57,,01.02,0.04,1.75,0.76,0.26,3,,,,0.01,,2.66,,0.27,0.04,0
3.79,17.82,0.01,2.9,,6.81,0.03,0.11,0.21,0.61,0.61,,,,0.01,,6.56,,0.06,0.05,0
